Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Price Change,Volume Category,Weekday
2022-06-10 00:00:00-04:00,139.25927565980368,139.7357787815499,136.0627042203906,136.1322021484375,91437900,0.0,0.0,Down,Medium,4
2022-06-13 00:00:00-04:00,131.90318157952223,134.21622941497344,130.48359408420694,130.92039489746094,122207100,0.0,0.0,Down,Medium,0
2022-06-14 00:00:00-04:00,132.1613091531334,132.91577370123463,130.52330598271703,131.7939910888672,84784300,0.0,0.0,Stable,Medium,1
2022-06-15 00:00:00-04:00,133.31287552581418,136.3406862155205,131.19838408330077,134.444580078125,91533000,0.0,0.0,Up,Medium,2
2022-06-16 00:00:00-04:00,131.11893816537355,131.42668006538247,128.10104986360264,129.11363220214844,108123900,0.0,0.0,Down,Medium,3
2022-06-17 00:00:00-04:00,129.12355852449727,132.11165093609412,128.86544070872029,130.6027069091797,134520300,0.0,0.0,Up,High,4
2022-06-21 00:00:00-04:00,132.44919290405485,136.0627065297986,132.3499296237102,134.88136291503906,81000500,0.0,0.0,Up,Low,1
2022-06-22 00:00:00-04:00,133.8092200881335,136.7576106719913,132.9356335376374,134.3651580810547,73409200,0.0,0.0,Stable,Low,2
2022-06-23 00:00:00-04:00,135.8244545208393,137.5815644420526,134.64311097581628,137.26390075683594,72433800,0.0,0.0,Up,Low,3
2022-06-24 00:00:00-04:00,138.88203854963987,140.8774228665344,138.75299477006664,140.62924194335938,89116800,0.0,0.0,Up,Medium,4
2022-06-27 00:00:00-04:00,141.66166791875244,142.44592811873193,139.94426017175448,140.62924194335938,70207900,0.0,0.0,Stable,Low,0
2022-06-28 00:00:00-04:00,141.0958177663617,142.37642461478964,136.3208194150737,136.43994140625,67083400,0.0,0.0,Down,Low,1
2022-06-29 00:00:00-04:00,136.45980887173667,139.64644352214572,135.67554865216982,138.2169189453125,66242400,0.0,0.0,Up,Low,2
2022-06-30 00:00:00-04:00,136.25133157263517,137.36317729993314,132.7966572429865,135.72518920898438,98964500,0.0,0.0,Down,Medium,3
2022-07-01 00:00:00-04:00,135.05011204008952,138.02828284364224,134.67288737211632,137.91908264160156,71051600,0.0,0.0,Up,Low,4
2022-07-05 00:00:00-04:00,136.76755200431583,140.57960747758273,135.93365256198211,140.52996826171875,73353800,0.0,0.0,Up,Low,1
2022-07-06 00:00:00-04:00,140.3214976239044,143.0713312992956,140.05345799008347,141.88006591796875,74064300,0.0,0.0,Stable,Low,2
2022-07-07 00:00:00-04:00,142.2473634173755,145.48365217167145,142.23744163418976,145.2851104736328,66253700,0.0,0.0,Up,Low,3
2022-07-08 00:00:00-04:00,144.20303064540428,146.4763762661496,143.94492795192568,145.97007751464844,64547800,0.0,0.0,Stable,Low,4
2022-07-11 00:00:00-04:00,144.61005415222928,145.572997317032,142.73380703531947,143.8158721923828,63141600,0.0,0.0,Down,Low,0
2022-07-12 00:00:00-04:00,144.6993818623864,147.36981068475808,143.99455661163788,144.7986602783203,77588800,0.0,0.0,Stable,Low,1
2022-07-13 00:00:00-04:00,141.94955689892961,145.38437216611206,141.0858770428347,144.43136596679688,71185600,0.0,0.0,Stable,Low,2
2022-07-14 00:00:00-04:00,143.03162281354528,147.86618205738918,142.20766038069377,147.38967895507812,78140700,0.0,0.0,Up,Low,3
2022-07-15 00:00:00-04:00,148.6901394277396,149.76228273225627,147.12163432378526,149.07730102539062,76259900,0.0,0.0,Up,Low,4
2022-07-18 00:00:00-04:00,149.64318763318747,150.4671501860218,145.63257509042197,145.99989318847656,81420900,0.0,0.0,Down,Low,0
2022-07-19 00:00:00-04:00,146.84368488355693,150.12959783972357,145.84103942025354,149.90127563476562,82982400,0.0,0.0,Up,Low,1
2022-07-20 00:00:00-04:00,150.02039451145652,152.60148208414427,149.2758517671536,151.92642211914062,64823400,0.0,0.0,Up,Low,2
